Time,Open,High,Low,Close,Tick Volume
1371772800,128.701,128.886,128.213,128.336,16526
1371787200,128.334,129.548,128.325,129.355,16521
1371801600,129.352,129.696,128.632,128.936,20310
1371816000,128.936,129.164,128.41,128.551,21012
1371830400,128.55,128.674,127.789,128.363,22647
1371844800,128.363,128.496,128.226,128.415,8499
1372032000,128.391,129.11,128.374,128.728,16404
1372046400,128.726,129.204,128.648,128.87,15448
1372060800,128.872,129.106,128.192,128.349,21205
1372075200,128.354,128.876,127.448,127.472,23003
1372089600,127.467,128.234,127.286,128.19,20689
1372104000,128.177,128.406,127.996,128.238,11013
1372118400,128.235,128.668,127.963,128.526,13424
1372132800,128.528,128.559,127.586,127.948,17319
1372147200,127.938,128.344,127.293,127.471,21432
1372161600,127.468,128.048,127.452,127.915,19933
1372176000,127.925,128.083,127.735,127.972,17607
1372190400,127.973,128.201,127.895,128.141,7919
1372204800,128.141,128.449,127.943,128.012,13440
1372219200,128.013,128.03,127.407,127.452,14948
1372233600,127.453,127.65,127.01,127.038,21077
1372248000,127.042,127.494,126.967,127.09,20202
1372262400,127.098,127.187,126.572,127.048,17822
1372276800,127.048,127.326,126.959,127.166,9469
1372291200,127.161,127.319,127.041,127.207,8968
1372305600,127.208,127.472,127.185,127.399,13573
1372320000,127.403,128.082,127.298,127.879,19753
1372334400,127.878,128.165,127.464,128.113,18791
1372348800,128.114,128.209,127.901,127.999,21782
1372363200,127.999,128.373,127.98,128.2,10262
1372377600,128.198,128.664,128.161,128.571,10098
1372392000,128.573,129.364,128.453,129.171,16372
1372406400,129.17,129.247,128.852,129.113,19034
1372420800,129.115,129.621,129.055,129.595,19219
1372435200,129.597,129.643,128.94,129.172,23743
1372449600,129.171,129.252,128.94,128.942,10039
1372636800,129.108,129.477,129.079,129.284,11354
1372651200,129.284,129.602,129.252,129.569,10160
1372665600,129.57,130.056,129.45,129.984,15834
1372680000,129.982,130.033,129.834,129.964,12926
1372694400,129.958,130.25,129.8,130.156,15193
1372708800,130.155,130.249,130.025,130.113,7298
1372723200,130.121,130.272,129.978,129.99,8802
